Content,Author,Date Created,Last Changed
müthiş zeki? zekayı da ithal etmeye başladık zira kendisinin zekası baya yurt dışında yapılmış. şimdi bunu rte mi istedi yoksa biri şart mı koştu belki bir gün öğreniriz. piyasaya etkisi olumlu olmadı. dolar akşam 23 de ve 00 da iki kere ateşlemiş yani kabine haberleri kulislerde sızıntı yaptığı saatler. rte asıl sebep istersen merkez bankasının başına osho'yu getir. faiz zaten 35'lerde 40-50 olur o da bir şeyi değiştirmez. belliki kriz döneminde çalışmaya hazır bir kızımız. bir banka batırmışlığı var. batmış bankanın müdürünü kim işe alır batmak üzere olan ülke. kariyerde gelişme böyle olur. tebrik ederim başarılarının devamını dilerim.,havluterlik,03.06.2023 09:30,null
"her ne hikmetse tum medyaya verilen cvsinde doktorayi 1 yilda bitirdigi yazdigi halde kendi linkedin profilinde 4 yilda bitirdigi yazmaktadir. fakat 82 dogumlu birinin turkiye’de 2001’de universite mezunu olmasi ""dogruysa!"" basaridir o ayri.yoneticisi oldugu bankanin kendi ayrildiktan ve faiz oranlari yukseltildikten sonra batmasi da dikkate deger. bunlar biraz alt detay ve ozgecmisi yine de dikkat cekici.",flagg,03.06.2023 10:00,20:14
"belli bir teklif var.ama hiç zannetmiyorum mb başkanlığı teklifini kabul edeceğini., önceki mb başkanlarına yapılanlar ortada iken,hazineye yapılanlar ortada ikenboğaziçi üniv zulüme rağmen,istanbul sözleşmesinin durumuna rağmenhüdapar'lıların refahçıların kafın dümanlıkları ayan beyanken ve kapitalist dünyada zirvelerdeyken bu çöplüğe neden gelsin?",leto atreides ii,03.06.2023 10:19,null
ismi türkiye'de mucize türk olarak anılsa da batıda öyle bir durum söz konusu değildir.(bkz: first republic bank),gitmesek mi,03.06.2023 10:23,null
2008 yilindaki lehmann brother risk birimi manageri turk olmadigi icin yerine buldugumuz alternatif.,acgacg,03.06.2023 10:36,null
valla bu ekonomik buhrana doğru giden vehameti ya ülke olarak çözeriz yada 1 yıla kalmaz imf mi artık ne skimse gelip öyle bir çözer ki buhranı mumla ararız.,allessandro,03.06.2023 10:41,null
yeni merkez bankası başkanı. at fava bekle.,suskun005,02.06.2023 14:03,null
gelme dayanamazsın ablam. seni de yerler.,be bop a lula,02.06.2023 14:06,null
first republic sonrası gözü tcmb'ye dikmiş doktoralı finansçımız.,simplec,02.06.2023 14:11,null
"merkez bankası başkanı olursa kendisine yazık edecek şahıs. zira rte 1 yıla onu da postalayıp, yine kendi bildiği liyakatli (!) insanı atacaktır.",drako,02.06.2023 14:14,null
kör cahil... bilge yılmaz'ın eğittikleri zaten ceo oluyor.,perihel902,02.06.2023 16:03,null
(bkz: sömürge valisi),qz,02.06.2023 16:11,null
bu yasta amerikada kariyeri birakip buraya merkez bankasi baskani olmak istemek cok iddiali ama sonucta biraz turkiyede yasamak istiyor olabilir. umarim isini yapmasina rte izin verir.,onlyreal,02.06.2023 16:20,null
"dolu dolu bir kariyere hatta tabiri caizse ""ürkütücü boyutlarda başarılara sahip"" bir yaşıtım. işte çok çalışmanın bir sonucu. hoş ben de çoh çaluştum sayulur. amma fiziksel olarak, beynim hariç her yerim çalıştı ve gördüğünüz üzere ben bu entriyi girerken ülkemin iktidar partisi kurmaylarının kendisine, gelip ekonomiyle ilgilenmesini rica ettikleri iddia ediliyor. ben ise birazdan bayat çay eşliğinde biskin yağlı poğaça yiyerek garnumu doyurcam.*şayet iddia edildiği gibi merkez bankası başkanı olursa, türkiye'de tarihin bir tekerrürden ibaret olduğunun ispatı olacaktır. nitekim, kemal derviş de benzer şekilde gelmişti.biz orta doğu insanının sorunu bu; başkası gelsin beni kurtarsın...",panpatube,02.06.2023 16:38,null
merkez bankası'nın 1982 doğumlu müstakbel başkanı.,isp,02.06.2023 16:47,null
şeriatçıları yakın zamanda çok kudurtacak kişi.özlem zengin'den sonra ikinci tokadı da yiyecekler.bir de kabineye kadın bakan gelirse kombo yapmış olur reis.yapıştır reis bu hacı hocacı şeriatçı tayfaya.,atina gore kisneyen sahip,02.06.2023 16:58,17:04
"gelipte ilk raporları incelediğinde şok olacak müstakbel tcmb başkanı...enflasyon : % 100, ama tüik % 50 gösteriyor.dolar : alışta 20, satışta 24 tl.faiz : bankalararası piyasada % 8.5, hb/dt % 10, mevduat faizi % 35, kredi faizi % 45.cumhurbaşkanı faiz sebep, enflasyon sonuç diyor, nas diye bir dini öğretiye inanıyor faiz konusunda.kadıncağız faiz enflasyon kadar olmalıdır, ayrıca enflasyon sebep faiz sonuçtur diyecek, bir sabah tv'de kendisinin götevden alınıp yerine berat albayrağın tanıdığı, marmarada bir dönem ekonomiye giriş dersi vermiş, iktisattan habersiz birinin getirildiğini öğrenecek.",fozziethebear,03.06.2023 03:42,null
"ekonomi konusunda cv'yi doldurup taşırmış birisi. madem akp kadrosunda yer alacak, kendisine sormak isterim. • faiz sebep enflasyon sonuç mudur? • faiz lobisi ile nasıl mücadele edilebilir?• yüzde kaç faiz günahtır?",boom,03.06.2023 03:58,10:45
"hala anlayamayan kesim için söylüyorum arabanın motoru yok siz kaliteli şoför geldi diye göbek atıyorsunuz. lla motor yok motor*gelirse kariyerine yazık eder. rte onu da çöp gibi kullanıp atar. faiz sebeb... iddiasından vazgecmedikce daron hoca da gelsse fissss arkadaşlar!!! ortodoks politikalar aynı zaten. kim gelirse gelsin aynı şeyi uygulayacak. onu uygulama izni verirlerse o zaman acı reçete olur. o da yerel seçim öncesi mümkün görünmüyor. keşke uygulasalar da en azından ekonomik sıkıntılardan kurtulsak ama yokkk, kendilerini ultra zengin yapan bu poltikayi rte bıraksa, etrafı bırakmaz. adamlar hayatlarından göremeyeceği parayı kazandılar. hala da kazanıyorlar. dolara %50 faizi kimse vermez bizim akillidan başka. neyse dibi görmeden çözüm yok. kadına geçmiş olsun diyorum.",bertsacmalamasanainsangibisoyluyorum,03.06.2023 04:41,04:41
(bkz: gelme öperler.),abdulketcap,03.06.2023 05:28,null
ekonomiden bahsederken çok daha rahat bir şekilde dıjj güçler yalanını söyleyebilmek için kullanmak istedikleri kişiymiş.neden ikide birde ekonomi bakanı ve merkez bankası başkanı değiştiriliyor? bak gördün mü hiçbiri aşamıyor çünkü bize saldırı var demek için elbette. ama kimse de şunu hatırlamıyor: yönetici kimin hangi işi başarabileceğini bilen kişidir. liyakat en tepedekinden başlar.,seni heyetinden sikmeyi tasarliyorum,03.06.2023 05:41,05:52
"ne mehmet şimşek’in ne de bu hanımefendinin bir akademik çalışması yeniliği başarısı yoktur… dünyada merkez bankasını bilim adamları yönetir, akademik başarılar elde etmiş ve yayınları bilinen insanlar başa geçer …bizim düştüğümüz hale bak…",kokoronomassugu,03.06.2023 06:02,null
"kariyeri gerçekten göz kamaştırıcı. boğaziçi endüstri mühendizliği birincilik, sonra dünya finans piyasaları şampiyonlar liginde 3-5 defa yılın elemanı olmak vesaire.. anladığım kadarıyla beyni standard modda limitless filmindeki bradley cooper'ın hap almış performansındaki gibi çalışıyor.. güzel.. ama bizim doktor döven çağ atlamış davarları güden diplomasız ekonomizt nas aleyhisselama nasıl okey dedi anlamak zor.. yeni bir kemal derviş vakası mı acaba?.. amerikalılar ""yeter kurcaladığın oynadığın mna koym, al şu hatunu gönderiyoz sana, geberip gidecen yakında, gitmeden ortalığı az toparlasın sizin hafize gaye"" mi dediler?edit: şahsın kariyeri üzerine yaptığım olumlu yorumlar üstünkörü, farkındayım. detaylı okuma yapmadım. bakıciz yani.-/-sabitlenmiş kamu spotu (01.06.2023): 15+ senedir bu ülkede oynanan seçim tiyatrosuna son vermek ve gerçek manada halk iradesini hakim kılmak için, acilen, tüm muhalif unsurlar nüfus sayım sistemi, seçmen listeleri konusuna eğilmeli, bu alanda profesyonel ekipler oluşturulmalıdır.. ""mezarlarından kalkıp oy verenler"", yurt dışı hayalet oylar, sayısı 2-3 milyonu bulduğu söylenen çakma vatandaş yabancı seçmenler tespit edilmelidir. seçim stratejisi seçimden 30 gün önce belirlenmez. kesintisiz, sürekli aktif bir takip ve kontrol sistemi eşliğinde uzun vadeli stratejiler oluşturulmalıdır! alooo! parti üyesi, yöneticisi! evet sana diyoruz..",asakawa,03.06.2023 06:12,07:48
daha once basinda oldugu banka batmamis miydi bu kadinin?(bkz: first republic bank)merkez bankamiz ile ilgili kimlerin nasil fantezileri var gorecegiz,akrapovic,03.06.2023 06:58,null
bu arada recep tayyip erdoğan eğer ekonomiyi düzeltirse chp sonsuza kadar tarihe gömülür.ellerindeki tek fırsatı leblebi kafayla hiç eden ittifak zaten tarihe gömülmeyi hak ediyor.,temel karamomy,03.06.2023 07:03,null
first republic bank'tan ayrıldıktan sonra first republic bankın başına gelenleri ve de türkiye merkez bankasındaki merkez bankası başkanı değişme frekansını düşününce belki gelmemesi daha iyi olabilir diye düşündüğüm kişi. tayyip zor adam. asıl yönetilmesi zor olan orası bence. yoksa baya enteresan ve başarılı bir öz geçmişi olan genç yaşında büyük işler yapmış birisi sanırım uzaktan görünene göre,pekinordegisevenmarti,03.06.2023 07:50,null
batık bir bankayı ancak banka nasıl batırılırı bilen birisi idare edebilir. dolayısı ile doğru kişi olabilir merkez bankası için.,fern owl,05.06.2023 01:26,null
yeni görevi hayırlı olsun.umarım mehmet şimşek ile birlikte giydikleri ateşten gömlek kendilerini yakana kadar hasarı minimize etmeyi başarırlar.,faultier,05.06.2023 01:43,null
"devletimiz daha iyi bilir ama artık bu dışarıdan transfer tiplerle bizim memleketin kurtulacağını sanmak da ne bileyim, bana biraz havanda su dövüyoruz gibi geliyor. tansu fiyaskosundan sonra yine bir iş bilmez tip merkezin başına geçiyormuş. kadın da abd'de banka batıran bir tip. allah göstermesin mb'ını da öyle yönetirse işimiz zor. kadın için cv'sini toparlamak açısından güzel de 80 küsür milyonluk ülkede başka adam mı yokmuş? gerçi nebati gibi, kavcıoğlu gibi kapısından içeri sokulmaması gereken tiplere ekonomi teslim edildi. bu hanım kızımızı da 6 aya paketlerler.",mein,05.06.2023 09:17,09:18
pazartesi sabah erken uyanmak için bir neden sorgulanıyor bazen.o nedenlerden biri hafize gaye erkan gibi insanlarımız olduğunun farkına varmak olabilir!gururla mutlulukla ve geleceğe umutla bakıyorum böyle insanlarımızı öğrendikçe.profesyonel dehası yanında ülkesine olan bağı ile de o'nu takdir ediyorum.şimdilerde tcmb başına geçeceği konuşuluyor. bu görevi kabul ederse ülkemiz için büyük bir uyanma-değişim-gelişim hamlesi olacaktır. kendi öz geçmişinde de gururla ifade edilecek bir iş olacaktır.,turkish cypriot 36,05.06.2023 09:26,null
yıllarca kemal derviş'e saldıranların tıpış tıpış kabul edeceği isim. ekonomik politikalarda masanın ortasına oturtulduğumuzun göstergesi.,trash sweet,05.06.2023 10:24,null
"yapması gereken abd ile görüşüp tl yerine dolara geçişi sağlamak. başka türlü türk ekonomisinin kurtulması imkansız. parayı değiştirmez ise 3 sene iyi, 3 sene kötü gidişata devam ederiz. hiçbir zaman kalkınmayı başaramayız.",senersongur,05.06.2023 10:27,null
"risk yönetiminin başında olduğu first republic bank'ın akıbetine bakınca tcmb'nin başına neden düşünüldüğü belli olmayan tuhaf bir kişilik.düşünsene, iş yerinin finansalları zor durumda. finans müdürünü değiştirmen gerekiyor. finans yüzünden batmış bir komşunun müdürünü getiriyorsun. üstelik iş yerinde bu göreve uygun binlerce, on binlerce kişin var.iyi şeyler yapması hiç muhtemel değil.",john galt,05.06.2023 10:50,null
kadın heralde mucizeler yaratmayacak eldeki malzeme belli. çalıp çırpmasın işini düzgün yapsın yeterli. bir de genç bir kadının bu pozisyona gelmesini hizbullah ve yrp gibi gerici partilerin mecliste bulunduğu bir dönemde olumlu buluyorum,dolai lama,05.06.2023 11:18,null
"konudan bihaber kişiler beni linç edecek ama yine de yazacağım. hanımefendinin uzmanlık alanı iktisat değil, finanstır. hatta finansın risk yönetimi alanı üzerine uzmanlaşmıştır. yüksek matematik bilgisiyle çeşitli modeller kurarak, çeşitli finansal ürünler tasarlarlar. bu tarz kişiler genelde hazine için uygundur. zaten çoğu da bankaların risk yönetiminde veya hazine bölümünde çalışırlar. para politikası için pek uygun değildir. abd'de 2008 yılında çıkan bankacılık krizinin sebeplerinden biri de, ekonomi bilmeyen fizik; matematik... mezunlarının finans alanında dominant olması olduğu söylenir.kendisi daha çok bddk başkanlığı, hazine bakanlığı gibi mevkilere daha uygundur. finansçıdan iktisatçı, iktisatçıdan da finansçı olmaz. vade anlayışları farklıdır. finansçı için 1 sene uzun bir süre olabilirken, iktisatçı için çok kısa süre olabilir. konuyla alakasız olarak borsada çalışmak için finans mühendisliği değil; trader olmak için istatistik+makine öğrenmesi üzerine; analistlik içinse mali tablo analizi üzerine uzmanlaşmak gerekir.",syzer,05.06.2023 11:47,17:33
başarısız olacak gibi bir kanı var bende..finanscı iktisatçı o cu bu cu falan demeden bunları diyorum..çünkü ortadaki malzeme belli faiz artacak bu belli ama ortada nas var..,rekoist,05.06.2023 15:07,null
zeki ve para yöneten kadınlar her zaman çekicidir ama seni önce recep sonra tayyip yer gayecim.,faker1,05.06.2023 15:18,null
ülkenin mevcut durumunu iyileştirmesine hiç ihtimal vermediğim müstakbel tcmb başkanı.,sabahlari erken kalkmaya soven adam,05.06.2023 15:31,null
first republic bank'i batıran kadın. sıra bizde. abd'den gelen ikinci kemal derviş.,alcatel,05.06.2023 15:33,06.06.2023 08:34
"hangi göreve koyarsan koy erdoğan'ın üstün zekasına yenik düşecek ve eğer ki faiz arttırırsa grup toplantısında kürsüden azarı yiyecek kişi. sonra da görevden alınır. nas der hassiktir çeker, at fav'a bekle.",amcq,05.06.2023 15:36,null
"la bunlar seçim boyunca muhalefete laf etmediler miydi?şimdi bunlar paso dışarıdan elemen getiriyorlar ( ogan hariç :)ingiliz mehmeti biliyoz, belçüka vatandaşı bakan var la?bir de bu hanımefendi...",sankibirseylereksik,05.06.2023 15:49,null
(bkz: sabire meltem banko)(bkz: nedense aklıma geldi),birgun herkes hayyamci olacak,05.06.2023 16:10,null
abd'de banka batırmış şimdi de merkez bankasının başına geçecek olan kadın. isim benzerliğinden dolayı akıllara habire götten zarto isimli kadını getirmiştir.(bkz: habire götten zarto),dementorb,05.06.2023 16:19,16:21
"erdoğan olduğu sürece bu ülkeye potansiyeli olan katkıyı yapamayacak. burası net. yine de muhaliflerin kendisine bu kadar saldırması da makul değil. banka batırmış da niye türkiye'den birisi yokmuş da falan filan. yahu makale yazamayan adamı başa geçirirler hep beraber laf ederiz, dünya çapında prestiji olan şirketlerde kademe kademe yükselmiş, üst düzey akademik geçmişe sahip birine niye laf edersiniz ki? kaçınız daha düne kadar first republic'i biliyordu da şimdi ezberlemiş gibi ""banka batırmış."" diyorsunuz. tansu hanımmış da şuymuş da bu kadın gelirse sağcı iktidar partisi başkanı olarak gelmeyecek. ülke çapında fiyat istikrarı sağlamak için sahip olduğu beceri ve öngörüleri kullanacak. olmazsa da olmaz. erdoğan günah keçisi ilan eder, yollar. gerekli adımları atamaz, kendisi çeker gider. veya direkt erdoğan'la çatışır, bırakmak zorunda kalır. hepsi olabilir elbette. ancak şahap, nebati, damat görmüş bizlere bu kadına farklı yaklaşmak düşer. ha siz ülke ekonomisi çöksün, erdoğan minimum 50 senelik totaliter bir rejim kurmadan önce iflas ve erken seçim gelsin istiyorsanız başka tabi. onu anlarım.",lautremont,05.06.2023 16:28,16:29
batık bankadan batık ülkeye yatay geçişle gelmesi beklenen kabarık cvli şahıs.,kataraz,05.06.2023 16:48,null
"hacı hoca tayfasından, nas'a uygun giyinen biri yok muymuş? işler kötüye gidince nedense hep ""laikçi"" kesimden yardım alıyorlar...",chokonut,05.06.2023 16:57,null
yeni gelecek merkez bankası başkanının özellikle şu dönemde az çok politik hareket edebilmesi de lazım. yeri geldiğinde erdoğan'a onun anlayabileceği dilden sunum yapabilecek biri olmalı. akademik olarak bu kadar parlak kariyeri olanlar genelde düz bir bakış açısına sahip olduğu için bu işlerin altından pek kalkamayabiliyor. merkez bankasının mutfağından yetişmiş önemli adamlar var bu arkadaşın yerine onların merkez bankasının başına getirilmesi daha doğru olur. kendisinin merkez bankasının başına getirilmesinin yanlış bir karar olacağını düşünüyorum. umarım yanılıyorumdur.,dear brother,04.06.2023 13:44,13:47
"türkiye cumhuriyeti'nin en azından ekonomi politikasını yeniden avrupavari bir hale sokacak olan mehmet şimşek'in tcmb'ye başkan olarak atayacağı iddia edilen kişi.şahsen siyasetten bağımsız olarak, türkiye cumhuriyeti'nde bu zamana kadar geç bile kalınmış bir hamle olan bir kadının tcmb başkanlığına atanma hamlesinin gerçekleşmesi her açıdan oldukça olumlu bir gelişme olacaktır.özellikle de ab bölgesi için de bir güven teşkil edecektir.keza yıllardır sadece aile bakanını kadın olarak atayan zihniyetin de ufkunu açan bir gelişme olacaktır.",arifbey0,04.06.2023 15:25,15:28
"bloomb. abd temsilcisi ali çınar a göre yola çıkmış müstakbel tcmb başkanı.durum gerçekten vahim demek ki, bir an önce başlayacaklar sıkmaya kemerleri.",olmasa da olurrrr,04.06.2023 17:24,null
mb başkanı olacağı konuşulan kabarık cv'li ablamız. umarız dedikodular doğrudur.,kimdesemkim,04.06.2023 18:35,null
"evli olup olmadığını merak ettiğim kadın. sanırım bekar gibi ama bilemedim. saçlar falan açık makyaj da yapılıyken güzel duruyor ama kariyer odaklı bir yaşantısı olduğu için evlenememiş olabilir.ayrıca sonunda ucundan da olsa y kuşağından birisi türkiye yönetiminde önemli bir görev almayı başardı. yönetimde jenerasyon değişimi yavaş yavaş başlıyor, yakında internetle büyüyen nesiller türkiye'yi yönetmeye başlayacak..edit: sanırım evliymiş.",kerevizyon,04.06.2023 18:44,05.06.2023 11:16
"mevcut kadrolarla karsilastirinca siirt köy hizmetleri spora messinin transferi gibi bir durum var. şahap'tan nebati'den sonra bu kadin geliyor. analistler kafayi yiyecek.isi duzeltebilir mi? pek sanmiyorum tabi ki. rte nin tek ve mutlak karar verici oldugu bu sistemde bir yil icinde hem bu ablamiz, hem de mehmet simsek, istifa dilekcelerini verirler. bu ekibin ekonomiyi duzeltmeleri imkansiz gibi ama hic olmazsa ekonomi burokrasini duzeltebilirler. bunun icin akp lilerin akrabalarindan olusan bu garip toplulugu tümden kapinin önüne koymalari iyi bir baslangic olabilir. ama uc bes muduru degil, merkez bankasina, bankalara kurumlara vs. parasutle gelmis bu liyakatsizlari yüzlük, binlik paketlerle derhal ekonomiden kovmalari gerek. onlarin yerine de bogazicili bilkentli mulkiyeli piril piril gencleri koysunlar. boylece hic olmazsa gelecegi kurtarirlar.",sen gelsene bi,04.06.2023 22:27,05.06.2023 00:15
"mevcut kadrolarla karsilastirinca siirt köy hizmetleri spora messinin transferi gibi bir durum var. şahap'tan nebati'den sonra bu kadin geliyor. analistler kafayi yiyecek.isi duzeltebilir mi? pek sanmiyorum tabi ki. rte nin tek ve mutlak karar verici oldugu bu sistemde bir yil icinde hem bu ablamiz, hem mehmet simsek, hem de lutfi elvan istifa dilekcelerini verirler. bu ekibin ekonomiyi duzeltmeleri imkansiz gibi ama hic olmazsa ekonomi burokrasini duzeltebilirler. bunun icin akp lilerin akrabalarindan olusan bu garip toplulugu tümden kapinin önüne koymalari iyi bir baslangic olabilir. ama uc bes muduru degil, merkez bankasina, bankalara kurumlara vs. parasutle gelmis bu liyakatsizlari yüzlük, binlik paketlerle derhal ekonomiden kovmalari gerek. onlarin yerine de bogazicili bilkentli mulkiyeli piril piril gencleri koysunlar. boylece hic olmazsa gelecegi kurtarirlar.",sen gelsene bi,04.06.2023 22:27,null
tansu çiller'in geldiği zaman yarattığı etkiye benzer bir havayla geliyor. (50 yaş altı bilmez tansu çiller havasını). mülkiye ziyaretinde bülent daver hocamızın önderliğinde başbakan tansu çiller sloganları ile karşılanmıştı. onda da cv kabarık idi. biri ev biri araba iki anahtar beklerken üçün birini almıştık. bu kadın gelirse eğer bir yerlerinizi kollayın.tecrübe konuşuyor.,v for edmonddantes,04.06.2023 22:39,null
"bu arada kendisi abd kariyerli olsa da , görev alsın veya almasın, aslen mehmet şimşek üzerinden londra eksenine kayıyor olacağız.zaten öyle olması da beklendik bir durum. darbe girişiminin hemen öncesinden itibaren perinçek ve ekibi üzerinden avrasya'ya kaymaya başlamıştı hükümet. sürecin rusya ayağı daha göze battı (s-400, doğalgaz v.s.) ama aslında bu dönemde çin'den de belli ölçekte kredi aldık(2018-2022 arası 26 milyar dolar). ayrıca çin'in yeni ipekyolu projesine destek çıktık diplomatik olarak. fakat 2018 sonrası gittikçe kontrolden çıkan ekonomi bizi londra finansına doğru yuvarladı malumunuz. hatta muhalefet sürekli londra tefecileri vurgusu yaptı. dolayısı ile ekonomik zorunluluklar türkiye'yi yenden londra/washington hattına itiyor. zaten erdoğan da muhtemelen oradan gelecek sıcak paralar için şimşek ve ekibini bir prestij veya garanti sembolü olarak göstermek istiyor. benim merak ettiğim bunun rusya ve çin ile ilişkilerimize nasıl etki edeceği. çin son bir kaç ayda suriye ekseninde etkinliğini çok arttırdı. es kaza türki cumhuriyetlerde de. türkiye yeni bir devler kavgasının ringi olmaya doğru gidiyor.",demirfelix,04.06.2023 22:46,null
"malumunuz ülkemiz imf programına girmeyi reddediyor. bu durumda bize kredi açacak, sıcak para getirecek kurumların ülke yönetiminde kritik noktalarda makul davranacak ve güvenebilecekleri isimlerin olmasını istemesi, hatta belki bunu şart koşmuş olmaları şaşırtıcı olmaz. o açıdan da ismi tavsiye üzerine gündeme gelmiş olabilir.yoksa tcmb başkanı görevi çok da çekici değil kendisi için. ya başarısız olur, ya da başarılı olur ama o zaman da bizim ekonomi modelimiz başarısız olur. her iki takdirde yakın zamanda iyi bir sicille ayrılan tcmb başkanı olmadığı gibi, bundan sonra da olması zor. o yüzden görevli olarak geleceğini düşünmek için yeterli sebep var.",mavi,05.06.2023 00:38,null
"burada yazılanlar inanılmaz. bilgi sahibi olmadan fikir sahibi olan ekşiciler banka batırdı sanıyor kadını, öyle diyor böyle diyor çamur atıyor ne kadar düzgün insanlara. erdoğan karşıtlığınız da böyle yarım bilgiyleyse yandık.frb'de hangi yıllar arasında görev yapmış? bu yıllarda faizler kaçmış amerikada? tahvil riski var mıymış acaba o yıllarda?borsada frb'nin değerini 4 kat artırmış mı mesela?frb'de neden tam ceo yapılmamış acaba batırdı kaçtı mı yoksa amerikadaki üst poziyonlardaki amerikan olmayan bir kadına karşı uygulanan ayrımcılıkların bunda etkisi olabilir mi ya da hamile olmasının/taze bir anne olmasının işlerden bir süre ayrılmasında etkisi olabilir mi?erdoğan vitrin süsü yapmaz, serbest hareket alanı verirse genç, dinamik, uluslararası tanınırlığı yüksek ve farklı bir yüz elbette çok olumlu olur. ama erdoğan müdahale etmezse, ki malesef düşük ihtimal.",yakupcemal,06.06.2023 02:12,02:30
tek ve cok onemli bir fonksiyonu olacaktir. la abd'li ve ab'li kardeslerim bakin ben tcmb baskaniyim. beni bilirsiniz o kadar fonlar paralar yonettim. allah rizasi icin su garibana (rte) da 3-5 milyar atesleyin. valla bak garantisi benim.,penfriend,06.06.2023 02:32,null
"millet ittifakı iktidara gelseydi hakan ali kara'yı tcmb başkanı yapacaklardı ve hakan ali kara ismi de sosyal medyada bayağı parlatılıyordu, liyakat sahibi isim diye...erdoğan bu atamayla, hakan ali kara'dan daha liyakatli, dünya capinda daha tanınmış bir ismi tcmb baskanı olarak atayacak.",ordekpoposundadomates,06.06.2023 07:12,null
"bu kadını chp , merkez bankasının başına getireceğim deseydi kadının ne pkklığı kalırdı ne ajanlığı işte böyle bir ülkenin merkez bankasının başına geçecek. gram aklı varsa uçakla türkiye'nin üstünden bile geçmez.",sisse,06.06.2023 08:32,null
