Content,Author,Date Created,Last Changed
"an itibariyle rte ve akp reklamı yapan akp bakanı.deprem olmuş insanlar ölmüş kimin umrunda, aman ucu bize dokunmasın oylarımız eksilmesin.",atina gore kisneyen sahip,25.01.2020 01:40,01:51
"""van'i ihya ettik depremden sonra"" dedi. yazin bunlari bir kenara.",a little change but a long way,25.01.2020 01:42,null
muhtemelen ulan gitti bizim uyku diye düşünen akp bakanı.tarihe not düşülsün deprem konuşmasına sayın cumhurbaşkanımızın liderliğini överek başlamıştır.,youngwolf61,25.01.2020 01:45,null
senin yerine ben utandim. sen ne anlattin simdi yazik be. onu yaptik sunu yaptik reklamci bakan.,torskese,25.01.2020 01:46,null
18 yıllık iktidarımızda sayın cumhurbaşkanımızın liderliğinde birçok deprem yaşadık.,mrtkty,25.01.2020 02:07,null
"2018’in ağustos ayının bir günü ordu’da sabah saatlerinde büyük bir sel felaketi yaşandı, bütün haber kanalları saatlerce sadece o bölgeden yayın yaptılar, insanlar pür dikkat ordu’yu izledi, herkes endişeliydi çünkü bir belde komple sular altında kaldı, mahsur kalan insanlar, suya batan binalar, yollarda sürüklenen araçlar vs., ve yağış devam etmekteydi, tablo daha da kötüye gidecekti. çevre ve şehircilik bakanı murat kurum’un da o gün öğlen saati için planlanmış bir basın toplantısı vardı, toplantı başlar başlamaz haber kanalları toplantıdan canlı yayına geçti, hatta daha bakan konuşmaya başlamadan tüm kanallardaki alt yazıda şu yazdı: “son dakika: bakan sel ile ilgili açıklama yapıyor” flaş flaş flaş!!!peki ne oldu? bakan ordu’nun adını dahi anmadan, geçmiş olsun bile demeden kanal istanbul’dan ve o günlerde seçim yatırımı açısından popüler olan millet bahçelerinden 10 dakikaya yakın bahsetti, uzun uzun kanal istanbul’un faydalarını, millet bahçelerinin güzelliklerini anlattı, haberciler bile şok oldu, uzun ve detaylı anlatımdan sonra habercilerin soruları üzerine sel ile ilgili bikaç cümle etmek zorunda kaldı. o gün canlı olarak izlediğim bu üzücü durumu youtubeda arattım ancak durumun anlaşılabileceği ancak şu videoyu bulabildim, sonuna dikkat edin, ne demek istediğimi anlayacaksınız (2:14); https://youtu.be/si4bcmlkepctanım: çevre ve şehircilik bakanı",yrd doc dr mehmet dagevi,25.01.2020 02:34,02:41
ege kıyılarında ormanların arasına hançer gibi saplanmış otel inşaatlarını tekneden eli ile göstererek yıkım kararı verdiren imajını bir gecede harcadı.,sesim dusunce,25.01.2020 03:51,null
(bkz: akp çocukları),morphling,25.01.2020 04:02,null
"wikipedia iyi ki açıldı. kendisi ile ilgili wikipedia sayfası girilesi. ""ankara mimar kemal lisesi'nin ardından 1999 yılında selçuk üniversitesi mühendislik ve mimarlık fakültesi inşaat mühendisliği bölümü’nden mezun olmuştur. 1999-2005 yıllarında inşaat alanında faaliyet gösteren çeşitli özel sektör kuruluşlarında mühendis, şantiye şefi, koordinatör olarak çalışmıştır.""diyor.",kontrolor41,25.01.2020 05:25,05:27
türkiye'de hemen hemen her bakan gibi vasıfsız koltuk işgal eden kişi. deprem ile ilgili yaptığı 2 açıklamayı da dinlerken ben yerin dibine girdim. insanlar enkaz altında kalanlar hakkında bir haber alır mıyız diye meraklanırken siyasi propaganda dinlediler. diyecek hiçbir şey yok.bu ülke bu yönetim krizi ile vallahi yine iyi ayakta duruyor.,kulturu boyunu asan adam,25.01.2020 12:12,13:33
bu arkadasi 10 saniye görsen yaşam enerjin kaybolur.,kaliphanedegilvirushane,29.07.2022 20:19,null
en sempatik bakan ünvanını eski bakan bekir pakdemirli’den devralmış anlaşılan.,keyfpleasure,31.07.2022 19:58,null
"aslen konyalı, asık suratlı bakan. akp'nin başarılı bakanlarından, güzel hizmetleri var.",vatan68,09.09.2022 19:35,null
"havuz medyasina kisisel pr i icin neler veriyor cok merak ediyorum acikcasi.tanim: havuz medyasinda, bursa buyuksehir belediye baskani ve uskudar belediye baskani ile birlikte bolca guzelleme haberleri yapilan bakan.",fiki fikii,14.09.2022 13:40,null
"belediye seçimlerinde ak partinin istanbul büyükşehir belediye başkanı adayı olacağını tahmin ettiğim, çevre şehircilik ve iklim değişikliği bakanı.",crdt,14.09.2022 13:44,null
biraz önce her projeyi tamamladık sözümüzü tuttuk dedi. tam bilmiyorum ama 2019 tuzla projesi hala yerinde sayıyor deniyor. hayat ne garip tokiler falan.,sovereign itfaiyenin hortumunu,14.09.2022 21:55,null
"izmir'in işgal altında olduğunu söyleyen liyakatsizlik abidesi bakan.twitterkimdir işgal eden bakan bey? halkı kin ve düşmanlığa sevkediyorsunuz. bu ülkede aylar öncesinde yapılan konser konuşmalarından insanlar içeri atılıyor. bakarsınız bir savcı da sizi araştırmaya başlar.tamam tamam, bu yazdığıma kargalar bile götüyle güler.",dardayimyalanimyok,15.09.2022 00:10,null
"""asgari ücretliler hem kira, hem konut kredisini nasıl ödeyecek?"" şeklindeki soruya verdiği yanıt:""1 yıl vatandaşımız biraz dişini sıkarak, biraz eşinden, dostundan borç alarak, biraz belki ek mesai yaparak bu bedeli karşılayabilir."" ifadelerini kullandı.asgari ücretlinin ek mesai yapıp para alabildiğini sanmak güzel bir düşünce.",dreigun,15.09.2022 12:06,12:08
kifayetsiz,zibidiparro,15.09.2022 15:22,null
muhteris.,sagliginiz icin,15.09.2022 15:24,null
"özgeçmişinde şöyle bir ifade olan, akp'nin en tehlikeli kişilerindendir.""inşaat alanında faaliyet gösteren çeşitli özel sektör kuruluşlarında çalıştı. (1999-2005)""hangi şirketler onlar? açık yazılamayacak kadar utanç verici yerler mi acaba?",seni heyetinden sikmeyi tasarliyorum,16.09.2022 21:12,21:13
(bkz: topuklu necdet paşa),carsamba,17.09.2022 02:37,null
zehir gibi bir zekaya sahip olan bakan... 5500 tl maaş alan bir asgari ücretlinin hem kira verip hem geçinip hem de ev sahibi olabileceğini hesaplıyor ve buna cümle alemin inanabileceğine inanıyor.,efesli,18.09.2022 22:10,null
2023 yılı ibb akp başkan aday adayıdır!tabii akp genel seçimi kaybederse ortada bir akp kalmayacağı için beyhude bir aday adaylığı olacaktır!,amuyasvili,18.09.2022 22:16,null
"yaptığı açıklamada ""şantiye şefleri yönetmeliğini yeniledik. iş sayısını iş büyüklüğüne göre düzenledik. yeni adım, yeni istihdam alanı doğuracak, yaklaşık 10 bin mimar-mühendise iş kapısı açılacak. hayırlı olsun."" ifadesinde bulunmuş fakat şantiye şefliği ücretleri de tıpkı yapıdenetim sisteminde olduğu gibi devlet aracılığı ile müteahitlerden alınıp şantiye şeflerine dağıtılmadığı sürece bu iş olmaz.",rambo19m,26.12.2022 15:22,null
"yapıdenetimde çalışan mühendislerin maaşlarına el atması gereken bakan, yapıdenetimler kazanıyor deveyle mühendislere veriyorlar çerez parası",rambo19m,06.01.2023 11:07,null
enteresan bir şekilde hiç açıklama yapmamıştir. bildiğim kadarıyla afet bölgesinde. bütün gün hiçbir ekranda görünmedi. hatta öyle yok ki bu sayfada bile hakkında henüz yorum yok.(bkz: çevre şehircilik ve iklim değişikliği bakanı),brakula,07.02.2023 03:08,null
6 şubat 2023 tarihinde görünmezlik pelerini giyen bakan.muhtemelen cumhurbaşkanı sayın recep tayyip erdoğan beyefendi'den herhangi bir emir almadı. bu sebeple pasif olarak çalışmalarına devam ediyor. aktif görevi olsa kameralar karşısında sürekli görürdük.,yerli google,07.02.2023 03:10,null
"“vatandaşımızı liyakatsizlerin eline bırakmayacağız” şeklinde beyanı bulunan; (bkz: 6 şubat kahramanmaraş depremi) vatandaş enkaz altındayken, 24 saati aşkın süredir yardım ulaşmamış birçok deprem enkazı bulunurken, deprem bölgesinde hiçbir şekilde görünmeyen bakanımsı. beyan",klasikcips,07.02.2023 09:27,null
istifa etmesi gereken bakan.,hungary,07.02.2023 10:05,null
bakanlar içinde salla başı al maaşı düsturuna en uygun hareket eden organizma.,ciwon,20.11.2020 18:09,null
"kendisi inşaat mühendisi olan çevre ve şehircilik bakanı, şu şantiye şefliği olayını düzenlese de müteahhitler şantiye şeflerine hem sigorta yapmak hem de her ay maaş vermek zorunda olsalar, biraz inşaat mühendisliğinin değeri artar hiç olmazsa.",rambo19m,18.01.2021 16:05,null
"az önce sosyal medya hesabından bir açıklama yaptı.bakanlığın projelerinde görev alacak personelin % 20'sinin, yeni mezun olma şartını getirmiş.içinde bulunduğumuz dönem için gayet güzel. olumlu buldum.sadece işini yapan, işiyle ilgilenen adamları severim. bu bakanda onlardan biri. olur olmaz şeylere veya kısır, gündelik siyasetin konularına burnunu sokmuyor, fikir beyan etmiyor, polemiklere girmiyor. sadece işine bakıyor.t. : az laf çok iş yapan, akp'nin orta yaşa sahip (45) bakanlarından biri.",kafamizbozukkanimizdegil,27.03.2021 02:07,null
kanal istanbul eş bakanı. diğeri de adil karaismailoğlu.,conaskimi,07.04.2021 15:36,null
çok yakışıklı birisi.*,dougsampson,13.04.2021 23:34,null
"twitler hesabında “dünyanın göz bebeği, tabiat harikası salda gölü'nü evlatlarımıza tüm renklerini, berraklığını, doğallığını koruyarak bırakacağız” seçim kendisi. bugüne kadar nereyi korudunuz sayın kurum ? elinizin deyipte güzelliğini yitirmeyen neresi kaldı?",phileo sophia,22.05.2021 11:03,null
"avrupa’dan çöp almıyoruz dedikten bir hafta sonra çöp alan firmalara ceza yağdıran bakan.ceza yiyen adamların yerinde olsam “çöp aldığımızı iddia edenler şerefsizdir, namussuzdur” derdim. yandaş kaynak: https://m.ensonhaber.com/…unun-ithalatini-yasakladiçöp almadığımız(!) haber: https://www.hurriyet.com.tr/…i-yapmamistir-41813943",golden once kalkan bayrak,23.05.2021 00:52,null
bakip bakip ortalarda gezinen bakan...(bkz: sadık soylu/#123659526),sagliginiz icin,23.05.2021 16:13,null
hangi çevrenin ve hangi şehirlerin bakanlığını yaptığını merak ettiğim atanmış kişi.,bebeninbiri,06.06.2021 17:50,null
marmara denizi'ni kurtarma eylem planı açıklıyor şu an. 18. maddeye geldi hala kanal istanbul'un marmara'ya vereceği zarardan bahsetmedi.edit: açıklama bitti ve kanal istanbul'un adı geçmedi.,ayuttudum,06.06.2021 17:57,18:01
istifa edeceğine şu an haber kanallarında canlı konuşmakta ve hiçbir şey söylememektedir.,your dirty words,07.02.2023 10:11,null
"an itibari ile basın toplantısında gaziantep dışında hiçbir ilden bahsetmeyen, milletin aklıyla dalga geçtiğini düşündüğüm çevre ve şehircilik bakanı.sayın cumhurbaşkanımız da afad koordinasyon merkezinden takip ediyormuş. bunu da sayın bakanımızdan öğrendik.",ckitax,07.02.2023 10:13,null
su an bos bos konusarak turk basinini esir almis sahistir.,fitifici,07.02.2023 10:20,10:21
"şu an deprem ile ilgili açıklama yapıyor. ancak gaziantep otoyolunu, belediye başkanı fatma şahin'le birlikte tekrar kullanıma açacağız mı dedi?ağa bir de tören yapıp otoyol açılışı yapsaydınız! bu ne saçma bir açılış durumudur. bundan da mı siyasi fayda çıkartmaya çalışacaksınız. merkez üssü antep olmayan bir ilde yaptığınız yol çökmüş utanmıyorsunuz, tamirine mi açılış yapıyorsunuz.",mezzyet,07.02.2023 10:21,10:22
sürekli boş konuşan kişi.ama sürekli.,bivalvia,07.02.2023 10:21,null
çevre bakanımız ama iki lafı bir araya getirmekten aciz. 10 cümlesinden 11'i anlaşılmıyor.,iliminate,07.02.2023 10:23,null
şuan itibari ile canlı yayında konuşma yapıyor ağzından bir kelime duymak istedim o da hatay. hani bir bilgi ver ne durumda ne oluyor orada niye ulaşım sağlanmıyor onları söyle yok abi hatay yok gibi davranılıyor.,bir zamanlar ektomorf,07.02.2023 10:24,null
"dünyanin en vasifsiz bakanidir.ya deliricem deliricem. sen önündeki kagidi oturup dogru duzgun okumaya bile muktedir bir insan degilsin, hala konusuyorsun, hala söyle bir dönemde televizyonu mesgul ediyorsun.önündeki kagittan artci deprem sayisini okumak, deprem siddetini okumak icin bile vasifsizsin, ülkeyi ve sehircilik politikalarini zaten rahat birakmiyorsun, bari televizyonlari rahat birak.bi de hala diyo ki ""biz halkimizi hic yalniz birakmadik"", alooo, hatay'daki insanlari enkaz altinda ölüme terk etmeniz bizim hayal gücümüz mü?depremden etkilenen sehirleri bile sayamiyorsun o sehirlerde olmana ragmen, sana yaziklar olsun. su hükümütin hicbir bireyinin yatacak yeri yok, ama senin hic yok.",tamam miyiz,07.02.2023 10:27,null
"canli yayında yaptığı açıklamada 'kimseyi aç açıkta bırakmadık "" diyerek skandal bir konuşma yapmıştır. insanlar donarak öldü. hatay'a 24 saatte ulaşılamadı farkında mısınız sayın bakan ?",offline olan insan,07.02.2023 10:28,null
"özgeçmişine baktığımızda, vatanın geleceğinin, vatandaşın canının kimlere emanet edildiği çok daha açık bir şekilde gözüküyor. güya çevre ve şehircilik bakanı ama tek formasyonu inşaat mühendisliği. --- spoiler ---ankara’da doğdu (1976). ankara mimar kemal lisesinin ardından selçuk üniversitesi mühendislik ve mimarlık fakültesi inşaat mühendisliği bölümünden mezun oldu (1999). yüksek lisansını, kentsel dönüşüm alanında tamamladı. (2017)inşaat alanında faaliyet gösteren çeşitli özel sektör kuruluşlarında çalıştı. (1999-2005)toki ankara uygulama daire başkanlığında uzman olarak görev yaptı. (2005-2006)toki istanbul uygulama daire başkanlığı avrupa yakası uygulama şube müdürlüğü görevinde bulundu. (2006-2009)t.c. başbakanlık toplu konut idaresi başkanlığı iştiraki emlak konut gyo aş genel müdürlüğü ve yönetim kurulu üyeliği görevlerini ifa etti. (2009-2018 temmuz.)yeni kabinenin ilk çevre, şehircilik ve iklim değişikliği bakanı olan murat kurum, evli ve 3 çocuk babasıdır.--- spoiler ---https://csb.gov.tr/teskilat-semasi/bakan",aliklopedi,07.02.2023 10:29,null
ne halta yaradığını kendisi de bilmeyen tip.,16f877a,07.02.2023 10:33,null
"iki kelimeyi bir araya getiremeyen, konuştuğu zaman da hiçbir şey söylemeyen sözde bakan",pluto9,07.02.2023 11:30,null
"çok tehlikeli bir açıklama yaptı. tek koordine merkezi afad olacak dedi. birçok ilçede 1 tane afad yokken bunu söylüyor. bu engelleme tarzı yankı bulmaya başladı, insanların yardım girişimi engelleniyor. halk seferber olurken onu da engellemek nedir???? bu açıklamasına ortak bir duruş sergilenmez ise halk çok çok fena mağdur olacak lütfen bu konuyu gündemde tutalım, halkı yalnız bırakmayalım.sen yoksun, istiyorsun ki kimse de olmasın. sizin için insanlar sadece sayıdan ibaret. bizim için her biri can.",hayata tutunmak,07.02.2023 17:04,null
recep tayyip erdoğan ve akapesine tam yakışan bir badem bıyıklı bakan.,carsamba,08.02.2023 01:37,null
insan televizyona çıkmaya utanıronurlu insan istifa eder senin zamanında dünya izin alınan bina yıkılmış git özverili çalışmalarını o ailelere anlat o zaman madem çok başarılısın,zuzom,08.02.2023 11:09,null
iki helikopter tahsis ettik dedi. 2 (iki) utanmadan iki dedi. koskoca ülke iki helikopter mi tahsis etti,bagdatbahcesi,08.02.2023 11:09,null
"hic bir malzeme, arac eksigi olmadigini belirtmistir. bu yalanciliktan da cok ote bisey.",theatricaltunes,08.02.2023 11:10,null
hiçbir eksiğimiz yoktur derken utanmıyor musunuz ya ?hala insanlar avaz avaz yardım istiyor,seninleuzunuzunkonusmakisterdim,08.02.2023 11:12,null
"genel olarak ulkenin özeti, çokta konusmanin manasi yok. gram utanma olsa zaten böyle bi açıklama yapmaz",chemistcelil,08.02.2023 11:14,null
cimhirbiskini 3 gun sicma dese sicmayacak adam. siz de hala yetki bekliyorsunuz... hepsi boyle oglum gormuyor musunuz?,sagliginiz icin,08.02.2023 11:19,null
"kabinenin yeni bakanlarından. tek elle tutulur özelliği hatırladığım kadarıyla bilal erdoğan'ın liseden arkadaşı olmasıdır. yoksa şimdi o bakanlığını yaptığı yerin taşra kadrosu için kpss veya özel sektörde uzman olmak için deli gibi koşturuyor olurdu. hayat birilerinin ayağının altına kırımızı halıyı seriyor, birilerine serdirtiyor. ne diyelim bakanlık hayırlı olsun kendisi için.edit: bilal erdoğan'ın liseden arkadaşı olamayacağı yönünde tarafıma yazar arkadaşlardan ciddi kriminal deliller sunulmaktadır. yanılma payımı ortaya koymakla beraber salt kariyer; kişiyi çok kısa sürelerde bu ülkede genel müdür, bakan vs. yapmaz.",cift l li entellektuel,10.07.2018 01:24,17.07.2018 19:35
"şuradan da görüleceği gibi tam da bu hükümetin istediği türden (gri) bir çevre ve şehircilik bakanıdır. kendisi 2010 yılınca geçici emkyo genel başkanı olmuş ancak geçmemiştir. üstün katkıları ve azmiyle de son yedi yıldır emkyo hisseleri sürekli çakılmaktadır. az bekleyin inşaat ya resullallah diyerek şehirlerde ağaç kalmadığına da şahit olacaksınız. ayrıca, twitterda boş/sahte profillerle de kendisine tebrik twitleri attırmaktadır.",sex lahmacun rockn roll,10.07.2018 13:16,13:17
"emlak konut, toki'ye ait bir şirkettir. amacı lüks konutlar yapıp para kazanmaktır, bu şekilde ettiği karları ana hissedarı olan toki'ye aktarır ve toki de bu paralarla anadolunun ücra taraflarında ucuz konutlar yapar. yani emlak konut zenginlerden alırken, toki fakirlere dağıtır. böyle bir hedef kitle farklılığı vardır aralarında.bu tabii emlak konut'un projelerinin gereksiz derecede pahalı olduğu ve piyasayı bozduğu, alıcılarına da zarar ettirdiği gerçeğini değiştirmez.",earendill,10.07.2018 16:31,null
"realist, çözüm odaklı izlenimi veren çevre ve şehircilik bakanı. bende lafı uzatmadan hemen konuya giriyorum: yıkın şu yalova atatürk stadını. 1- stadın yeni bir büyük depremde ne olacağı belirsiz. yalova yeni ve güvenli bir stadı hakediyor. stadın yeri: yalova merkezde en çok kayıp verilen hacı mehmet ovasını hemen karşısı...2- yalova'nın merkezinde şehirlinin nefes alacağı bir meydan olursa, yalova'nın turistik değeri de artar. hem yalovalı faydalanır hemde merkezi tercih eden turistler. yalova sahilindeki insan denizi biraz hafifler. 3- yalova merkezde olmayan bir stadyum trafiği de rahatlatır. küçük ilimiz yalova'da müthiş trafik sıkışıklıkları oluyor. yalova stadında ciddi 1-2 maç organizasyonu olsa; millet aracını yolun ortasında bırakıp gider. 4- asayiş, çevre güvenliği açısında; şehirle bu kadar içiçe bir stadda güvenlik önlemi almak çok daha zor. 5- sradan yalovalı şehrin ortasında stad istemiyor. sesi çok çıkacak holigan gruplarına aldanmayın. özetle ""ülke genelinde 15 ilde eski stadyumlar da millet bahçesine dönüşecek"" cümlesi beni çok heyecanlandırdı. yalova için, ülkemiz için hayırlısı olsun inşallah.",nickelbird,20.07.2018 11:26,null
mütemadiyen fikirtepe'ye çağırılmakta olan taze bakanımız.,doubloonbey,01.08.2018 21:20,null
"cnn türk’te, ordu’daki sel yerine kanal istanbul’dan ve millet bahçelerinden bahsedince tepki çeken yeni cambaz.her kabine döneminde, seviye daha da ileri taşınıyor.",los macikambos,09.08.2018 12:20,null
"bugün gavur emerikan dolares 6 liraya bir kez daha tırmanır iken ""ekonomik bir savaşa karşı net bir duruş sergileyerek, yine savaştan galip çıkmayı başardık"" buyurmuş saygıdeğer bayındırlık bakanı. ""sahada bütün olması gereken projeleri yapıyoruz"" da diyerek an itibariyle herhangi bir kemer ihtiyacı olmadığını da müjdelemiş, kara bulutları dağıtmıştır kendisi.",carsamba,26.10.2018 03:34,null
varank ile birlikte yeni kabinenin one çıkan bakanlarından. 100 günlük çalışmalarını faydalı buluyorum. böyle devam etmesi dileğiyle.,cazzodaquila,14.11.2018 11:01,null
"ytong yüzlü bakan. adam çok mu mutsuz, çok mu asabi, sinir hastası mı acaba gerçekten merak ediyorum. taa 2013'te bu adamın yüzündeki ifadeyi tespit eden yazarı tebrik eder kutlarım. bakanlığının açıklandığı günden beri çok fazla konuşmasına, röportajına şahit oldum. eskiden bıyıklı değilmiş bakan olunca tabi akp kafasına uymuş belli ki. danışmanlarına ricada bulunuyorum abi allah aşkına şu adamın yüzüne bir gülümseme kondurun. bu ne ya adamın bir kez güldüğüne şahit olmadım. betonla uğraşa uğraşa kendisi de ytong yüzlü olmuş. https://www.haberturk.com/…iklamasi-2228731-ekonomi https://www.haberturk.com/…aciklama-2220109-ekonomi https://www.haberturk.com/…eyecegiz-2210173-ekonomi",kentist13,22.11.2018 15:22,null
"toki, rant, kupon arazi gibi konularda performansini bilemm ama çevreyi koruma konusunda radikal kararlar alarak gelecege yönelik iyi adimlar atan birisi. akp icinde uzun zamandir her kesimden taktir toplan tek isim.",sudosuz surahi,21.01.2019 07:37,null
"full hamasi bir dil kullananan badem bıyıklı. malatya'mız da malatya'mız, fahriye teyzemiz, hamdolsun vs. kusacam yeminle.",kafasina dusen keci sonucu olen adam,07.03.2023 15:48,null
"hâlâ niye şu şantiye şefliğini düzene koymuyor hayret, okadar can kaybı oldu , daha neyi bekliyor inşaatların başına inşaat mühendislerini koymak çok mu zor.",rambo19m,12.03.2023 18:56,null
"istanbul’da fazla oy olmak için liste başı vekil adayı, muhtemelen de performansına göre 2024 seçiminde ibb başkanlığına aday olacakmış; ama eko hem genel hem yerel seçimde daha baskın çıkar.",thedoomsdaykiller,26.03.2023 13:51,null
6 şubat 2023 kahramanmaraş depremi ile 20 şubat hatay depremi ve şubat 2023'te meydana gelen sayamadığım onlarca büyük depremden sonra yerle bir olan özellikle antakya ve çevresi ile yine büyük yıkıma mağruz kalan bazı şehirleri inşa ederken bazı vatandaşların mağdur olmasına sebep olacak olan badem bıyıklı.zamanı gelince umarım bu da yargılanır.,kuntz 31,02.04.2023 00:02,null
"antakya'nın tarihini, kültürünü, klasik anadolu kentlerinden farklı olan o dokusunu yok etmek için çalışan badem bıyıklı. (bkz: antakya/#151038592)",kuntz 31,07.04.2023 19:41,null
3.türkiye ulusal risk kalkanı modeli toplantısında şantiye şefliğiyle ilgili tiyolar verdi gibime geldidakika 16 ya dikkat:https://twitter.com/…?t=s00bi-epiojv2bq7mr21sq&s=19,rambo19m,07.04.2023 20:03,null
adam nerseyse depremde evleri yıkılanlar bize teşekkür ettiler diyecek... ben böyle yüzsüzlük görmedim. lanet olsun.,windowswizard,10.04.2023 21:32,null
"mehmet akif ersoy'un askeriyeye ait araziyi ne zaman aldınız sorusunu üç kez sormasına rağmen asla cevap vermeyen, geçiştiren bakan. kübra par'ın bakanı kurtarmak için araya girip ses yükseltmesi de rezilcedir.",selam olsun size ey ihtilal icinde acan,10.04.2023 21:41,null
çalışkan ama vizyonsuz bir bakan olduğunu düşünüyorum.deprem sonrası “istanbul’un nüfusunu azaltmalıyız” demek yerine hala mütahit zihniyetiyle rezevr konutlar hikayesi anlatıyor tv kanallarında bu ara(bkz: allah akıl fikir versin),momento momento,11.04.2023 01:16,null
birinci sıradan mv adayı yapılmış bakan.,tangocharliejuliett,11.04.2023 09:59,null
"""yeniden herkesin istanbul'u için hazırız"" diyerek yeni dönem için milletvekilliği adaylığını açıklamış",ovufs,11.04.2023 10:52,null
"erdoğan'ın ""murat kulum"" diye seslendiği eski bakan, yeni vekil.gerçi erdoğan hepsine ""kulum"" diye sesleniyor ama burada soyadıyla da uyumlu hale geliyor.",terminus yerlisi,11.04.2023 11:02,null
devletle belediyeyi yarıştıran akp'li.siyaset kimlerin eline düşmüş.,atina gore kisneyen sahip,11.04.2023 11:05,null
"istanbul ibb başkan adayı olacağı konuşuluyor. muhtemelen akp'de ""tevfik göksu'dan daha kötü bir aday bulabilir miyiz?"" diye anket yapılmış herhalde. göksu'nun ıslak ibb hayallerini sona erdirmesi gibi bir faydası olur aslında, ancak bunun dışında politik olarak hiçbir ışığı olmayan emir eri bir adam. binali yıldırım en azından az da olsa komikti.",geven,11.04.2023 11:10,null
adil karaismailoğlu'nu geçerek istanbul birinci bölge birinci sıradan aday olabildiği konuşuluyormuş.,dolaysiztumlec,11.04.2023 16:36,16:37
"ak bakan.yerel secimde ibb baskan adayi olursa, eko bunu sagli sollu samarlar.",retiredman,11.04.2023 16:40,null
"merkezi hükümet ile belediyeyi kıyaslayan atanmış, emir eri.",tomtucker,11.04.2023 18:46,null
"2 gün önceki habertürk tv yayınında ""kılıçdaroğlu bedava konut yapmak istiyorsa depremzedelere izmir'de niye konut vermedi?"" diyerek siyasi dehasının muhteşem bir örneğini vermiştir!zaten bu akpliler de kendilerini hep süper zeka görürlerken, diğer herkesi geri zekalı sanıyorlar.",eyanii,12.04.2023 11:29,null
